StoreID,StoreName,City,State,Region,Country,StoreType,OpenDate,ManagerID,LastModifiedDate,IsActive
STR0001,Bhubaneswar Store 1,Bhubaneswar,Odisha,East,India,Online Fulfillment,2020-08-07,EMP0001,2026-07-05 19:08:24.431098,True
STR0002,Hyderabad Store 2,Hyderabad,Telangana,South,India,Mall,2016-05-18,EMP0002,2026-07-05 19:08:24.431109,True
STR0003,Mumbai Store 3,Mumbai,Maharashtra,West,India,Mall,2022-12-27,EMP0003,2026-07-05 19:08:24.431114,True
STR0004,Mumbai Store 4,Mumbai,Maharashtra,West,India,Online Fulfillment,2020-10-18,EMP0004,2026-07-05 19:08:24.431118,True
STR0005,Chandigarh Store 5,Chandigarh,Punjab,North,India,High Street,2020-07-25,EMP0005,2026-07-05 19:08:24.431122,True
STR0006,Guwahati Store 6,Guwahati,Assam,East,India,Online Fulfillment,2015-09-26,EMP0006,2026-07-05 19:08:24.431126,True
STR0007,Hyderabad Store 7,Hyderabad,Telangana,South,India,Warehouse,2017-03-17,EMP0007,2026-07-05 19:08:24.431131,True
STR0008,Lucknow Store 8,Lucknow,Uttar Pradesh,North,India,Warehouse,2018-08-10,EMP0008,2026-07-05 19:08:24.431134,True
STR0009,Chennai Store 9,Chennai,Tamil Nadu,South,India,Mall,2022-03-14,EMP0009,2026-07-05 19:08:24.431138,True
STR0010,Chennai Store 10,Chennai,Tamil Nadu,South,India,Warehouse,2020-07-19,EMP0010,2026-07-05 19:08:24.431141,True
STR0011,Pune Store 11,Pune,Maharashtra,West,India,High Street,2016-09-17,EMP0011,2026-07-05 19:08:24.431145,True
STR0012,Kolkata Store 12,Kolkata,West Bengal,East,India,High Street,2019-09-02,EMP0012,2026-07-05 19:08:24.431149,True
STR0013,Mumbai Store 13,Mumbai,Maharashtra,West,India,Warehouse,2018-03-15,EMP0013,2026-07-05 19:08:24.431157,True
STR0014,Pune Store 14,Pune,Maharashtra,West,India,Mall,2020-10-22,EMP0014,2026-07-05 19:08:24.431161,True
STR0015,Bhubaneswar Store 15,Bhubaneswar,Odisha,East,India,Warehouse,2021-07-12,EMP0015,2026-07-05 19:08:24.431164,True
STR0016,Kochi Store 16,Kochi,Kerala,South,India,Warehouse,2022-01-07,EMP0016,2026-07-05 19:08:24.431168,True
STR0017,Surat Store 17,Surat,Gujarat,West,India,High Street,2024-09-17,EMP0017,2026-07-05 19:08:24.431171,True
STR0018,Hyderabad Store 18,Hyderabad,Telangana,South,India,Mall,2017-05-09,EMP0018,2026-07-05 19:08:24.431175,True
STR0019,Bengaluru Store 19,Bengaluru,Karnataka,South,India,High Street,2020-09-16,EMP0019,2026-07-05 19:08:24.431179,True
STR0020,Pune Store 20,Pune,Maharashtra,West,India,Online Fulfillment,2024-12-09,EMP0020,2026-07-05 19:08:24.431182,True
STR0021,Kochi Store 21,Kochi,Kerala,South,India,Warehouse,2015-11-23,EMP0021,2026-07-05 19:08:24.431186,True
STR0022,Kochi Store 22,Kochi,Kerala,South,India,Online Fulfillment,2021-03-17,EMP0022,2026-07-05 19:08:24.431189,True
STR0023,Ahmedabad Store 23,Ahmedabad,Gujarat,West,India,Warehouse,2023-10-12,EMP0023,2026-07-05 19:08:24.431195,True
STR0024,Bhubaneswar Store 24,Bhubaneswar,Odisha,East,India,Online Fulfillment,2017-02-06,EMP0024,2026-07-05 19:08:24.431199,True
STR0025,Hyderabad Store 25,Hyderabad,Telangana,South,India,Online Fulfillment,2017-12-07,EMP0025,2026-07-05 19:08:24.431203,True
STR0026,Guwahati Store 26,Guwahati,Assam,East,India,High Street,2024-07-22,EMP0026,2026-07-05 19:08:24.431207,True
STR0027,Lucknow Store 27,Lucknow,Uttar Pradesh,North,India,Online Fulfillment,2020-01-17,EMP0027,2026-07-05 19:08:24.431210,True
STR0028,Delhi Store 28,Delhi,Delhi,North,India,Warehouse,2018-09-16,EMP0028,2026-07-05 19:08:24.431214,True
STR0029,Chandigarh Store 29,Chandigarh,Punjab,North,India,Mall,2015-10-23,EMP0029,2026-07-05 19:08:24.431217,True
STR0030,Kochi Store 30,Kochi,Kerala,South,India,High Street,2019-10-02,EMP0030,2026-07-05 19:08:24.431221,True
STR0031,Kochi Store 31,Kochi,Kerala,South,India,Mall,2019-08-28,EMP0031,2026-07-05 19:08:24.431224,True
STR0032,Guwahati Store 32,Guwahati,Assam,East,India,Online Fulfillment,2020-02-10,EMP0032,2026-07-05 19:08:24.431256,True
STR0033,Chandigarh Store 33,Chandigarh,Punjab,North,India,Warehouse,2021-12-03,EMP0033,2026-07-05 19:08:24.431262,True
STR0034,Delhi Store 34,Delhi,Delhi,North,India,Mall,2021-12-27,EMP0034,2026-07-05 19:08:24.431266,True
STR0035,Pune Store 35,Pune,Maharashtra,West,India,Mall,2023-03-12,EMP0035,2026-07-05 19:08:24.431270,True
STR0036,Ahmedabad Store 36,Ahmedabad,Gujarat,West,India,Mall,2016-03-14,EMP0036,2026-07-05 19:08:24.431273,True
STR0037,Kolkata Store 37,Kolkata,West Bengal,East,India,Mall,2016-02-01,EMP0037,2026-07-05 19:08:24.431276,True
STR0038,Bengaluru Store 38,Bengaluru,Karnataka,South,India,Mall,2024-01-05,EMP0038,2026-07-05 19:08:24.431280,True
STR0039,Delhi Store 39,Delhi,Delhi,North,India,Mall,2019-02-17,EMP0039,2026-07-05 19:08:24.431284,True
STR0040,Surat Store 40,Surat,Gujarat,West,India,Mall,2022-12-04,EMP0040,2026-07-05 19:08:24.431287,True
STR0041,Surat Store 41,Surat,Gujarat,West,India,Online Fulfillment,2022-12-25,EMP0041,2026-07-05 19:08:24.431290,True
STR0042,Ahmedabad Store 42,Ahmedabad,Gujarat,West,India,Online Fulfillment,2023-02-28,EMP0042,2026-07-05 19:08:24.431294,True
STR0043,Patna Store 43,Patna,Bihar,East,India,Warehouse,2020-03-18,EMP0043,2026-07-05 19:08:24.431299,True
STR0044,Hyderabad Store 44,Hyderabad,Telangana,South,India,High Street,2017-08-25,EMP0044,2026-07-05 19:08:24.431302,True
STR0045,Surat Store 45,Surat,Gujarat,West,India,Warehouse,2021-06-28,EMP0045,2026-07-05 19:08:24.431306,True
STR0046,Bengaluru Store 46,Bengaluru,Karnataka,South,India,Online Fulfillment,2016-08-20,EMP0046,2026-07-05 19:08:24.431309,True
STR0047,Pune Store 47,Pune,Maharashtra,West,India,High Street,2020-04-02,EMP0047,2026-07-05 19:08:24.431313,True
STR0048,Kochi Store 48,Kochi,Kerala,South,India,Mall,2023-09-27,EMP0048,2026-07-05 19:08:24.431316,True
STR0049,Mumbai Store 49,Mumbai,Maharashtra,West,India,Online Fulfillment,2019-06-10,EMP0049,2026-07-05 19:08:24.431319,True
STR0050,Kochi Store 50,Kochi,Kerala,South,India,Online Fulfillment,2020-12-09,EMP0050,2026-07-05 19:08:24.431322,True
STR0051,Surat Store 51,Surat,Gujarat,West,India,High Street,2024-09-11,EMP0051,2026-07-05 19:08:24.431326,True
STR0052,Pune Store 52,Pune,Maharashtra,West,India,Mall,2017-03-28,EMP0052,2026-07-05 19:08:24.431329,True
STR0053,Bengaluru Store 53,Bengaluru,Karnataka,South,India,Warehouse,2015-05-15,EMP0053,2026-07-05 19:08:24.431334,True
